Operateur;2G;3G;4G;city
Bouygue;1;1;1;plouénan
Bouygue;1;1;1;brasparts
SFR;1;1;1;brasparts
Bouygue;1;0;0;île-de-batz
SFR;1;1;1;pleyben
Bouygue;1;1;1;pleyben
Free;0;1;1;pleyben
Orange;1;1;0;brasparts
SFR;1;1;1;santec
Bouygue;1;1;1;santec
Orange;1;1;0;pleyben
Free;0;1;1;saint-pol-de-léon
Orange;1;1;0;saint-pol-de-léon
SFR;0;1;0;île-de-batz
Bouygue;1;1;1;elliant
SFR;1;1;1;elliant
Free;0;1;1;plouénan
Orange;1;1;1;guiclan
Bouygue;1;1;1;saint-thois
SFR;1;1;1;saint-thois
Orange;1;1;0;roscoff
SFR;1;1;1;saint-pol-de-léon
SFR;1;1;1;roscoff
Bouygue;1;1;1;roscoff
Bouygue;1;1;1;saint-pol-de-léon
Orange;0;1;0;trégunc
Orange;1;1;0;elliant
Free;0;1;1;elliant
SFR;1;1;1;melgven
Bouygue;1;1;1;melgven
Bouygue;1;1;1;saint-thégonnec loc-eguiner
Free;0;1;1;saint-thégonnec loc-eguiner
SFR;1;1;1;saint-thégonnec loc-eguiner
Free;0;1;0;trégunc
Orange;1;1;0;melgven
Free;0;1;1;melgven
Bouygue;1;1;1;trégunc
SFR;1;1;1;trégunc
Orange;0;1;1;rosporden
Bouygue;1;1;1;rosporden
SFR;1;1;1;rosporden
Orange;1;1;0;plounéour-ménez
Bouygue;1;1;1;plounéour-ménez
Free;0;1;1;plounéour-ménez
SFR;1;1;1;plounéour-ménez
SFR;1;1;1;carantec
Orange;1;1;0;carantec
Bouygue;1;1;1;carantec
Orange;1;1;0;névez
Free;0;1;1;taulé
Orange;1;1;0;taulé
Bouygue;1;1;0;taulé
SFR;1;1;0;taulé
Orange;1;1;0;coray
SFR;1;1;1;pleyber-christ
Orange;1;1;1;pleyber-christ
Bouygue;1;1;1;pleyber-christ
SFR;1;1;1;coray
Bouygue;1;1;1;coray
Free;0;1;1;coray
Bouygue;1;1;0;sainte-sève
Orange;1;1;0;sainte-sève
Free;0;1;1;pleyber-christ
Orange;1;1;1;châteauneuf-du-faou
Bouygue;1;1;1;châteauneuf-du-faou
SFR;1;1;1;châteauneuf-du-faou
SFR;1;1;1;plonévez-du-faou
Bouygue;1;1;1;plonévez-du-faou
Bouygue;1;1;1;névez
SFR;1;1;1;névez
Orange;1;1;1;saint-martin-des-champs
Free;0;1;1;rosporden
Bouygue;1;1;1;saint-martin-des-champs
Free;0;1;1;châteauneuf-du-faou
SFR;1;1;1;saint-martin-des-champs
Free;0;1;1;saint-martin-des-champs
Orange;1;1;0;pont-aven
SFR;1;1;1;pont-aven
Bouygue;1;1;1;pont-aven
Free;0;1;1;pont-aven
Bouygue;1;0;0;plourin-lès-morlaix
SFR;1;1;0;morlaix
Bouygue;1;1;0;morlaix
Orange;1;1;0;plourin-lès-morlaix
Free;0;1;1;morlaix
Orange;1;1;0;morlaix
SFR;1;1;0;plourin-lès-morlaix
Free;0;1;1;plourin-lès-morlaix
Bouygue;1;1;1;cloître-saint-thégonnec
SFR;1;1;1;cloître-saint-thégonnec
Bouygue;1;1;0;riec-sur-bélon
SFR;1;1;1;riec-sur-bélon
Orange;1;1;0;plonévez-du-faou
Bouygue;1;1;1;garlan
